F091 | 5.2 (Transforming Principle) | definition | "Some 'transforming principle', transferred from the heat-killed S strain, had enabled the R strain to synthesise a smooth polysaccharide coat and become virulent."
F092 | 5.2 (Transforming Principle) | concept | "This must be due to the transfer of the genetic material."
F093 | 5.2 (Transforming Principle) | concept | "However, the biochemical nature of genetic material was not defined from his experiments."
F094 | 5.2 (Biochemical Characterisation) | name | "Prior to the work of Oswald Avery, Colin MacLeod and Maclyn McCarty (1933-44), the genetic material was thought to be a protein."
F095 | 5.2 (Biochemical Characterisation) | concept | "They worked to determine the biochemical nature of 'transforming principle' in Griffith's experiment."
F096 | 5.2 (Biochemical Characterisation) | concept | "They purified biochemicals (proteins, DNA, RNA, etc.) from the heat-killed S cells to see which ones could transform live R cells into S cells."
F097 | 5.2 (Biochemical Characterisation) | concept | "They discovered that DNA alone from S bacteria caused R bacteria to become transformed."
F098 | 5.2 (Biochemical Characterisation) | concept | "They also discovered that protein-digesting enzymes (proteases) and RNA-digesting enzymes (RNases) did not affect transformation, so the transforming substance was not a protein or RNA."
F099 | 5.2 (Biochemical Characterisation) | concept | "Digestion with DNase did inhibit transformation, suggesting that the DNA caused the transformation."
F100 | 5.2 (Biochemical Characterisation) | concept | "They concluded that DNA is the hereditary material, but not all biologists were convinced."
F101 | 5.2 (Biochemical Characterisation) | question | "Can you think of any difference between DNAs and DNase?"
F102 | 5.2.1 | name | "the experiments of Alfred Hershey and Martha Chase (1952)"
F103 | 5.2.1 | definition | "They worked with viruses that infect bacteria called bacteriophages."
F104 | 5.2.1 | concept | "The bacteriophage attaches to the bacteria and its genetic material then enters the bacterial cell."
F105 | 5.2.1 | concept | "The bacterial cell treats the viral genetic material as if it was its own and subsequently manufactures more virus particles."
F106 | 5.2.1 | concept | "Hershey and Chase worked to discover whether it was protein or DNA from the viruses that entered the bacteria."
F107 | 5.2.1 | concept | "They grew some viruses on a medium that contained radioactive phosphorus and some others on medium that contained radioactive sulfur."
F108 | 5.2.1 | concept | "Viruses grown in the presence of radioactive phosphorus contained radioactive DNA but not radioactive protein because DNA contains phosphorus but protein does not."
F109 | 5.2.1 | concept | "Similarly, viruses grown on radioactive sulfur contained radioactive protein but not radioactive DNA because DNA does not contain sulfur."
F110 | 5.2.1 | concept | "Radioactive phages were allowed to attach to E. coli bacteria."
F111 | 5.2.1 | concept | "Then, as the infection proceeded, the viral coats were removed from the bacteria by agitating them in a blender."
F112 | 5.2.1 | concept | "The virus particles were separated from the bacteria by spinning them in a centrifuge."
F113 | 5.2.1 | concept | "Bacteria which was infected with viruses that had radioactive DNA were radioactive, indicating that DNA was the material that passed from the virus to the bacteria."
F114 | 5.2.1 | concept | "Bacteria that were infected with viruses that had radioactive proteins were not radioactive. This indicates that proteins did not enter the bacteria from the viruses."
F115 | 5.2.1 | concept | "DNA is therefore the genetic material that is passed from virus to bacteria (Figure 5.5)."
F116 | 5.2.2 | concept | "the debate between proteins versus DNA as the genetic material was unequivocally resolved from Hershey-Chase experiment. It became an established fact that it is DNA that acts as genetic material."
F117 | 5.2.2 | example | "However, it subsequently became clear that in some viruses, RNA is the genetic material (for example, Tobacco Mosaic viruses, QB bacteriophage, etc.)."
F118 | 5.2.2 | concept | "Answer to some of the questions such as, why DNA is the predominant genetic material, whereas RNA performs dynamic functions of messenger and adapter has to be found from the differences between chemical structures of the two nucleic acid molecules."
F119 | 5.2.2 | question | "Can you recall the two chemical differences between DNA and RNA?"
F120 | 5.2.2 | list | "A molecule that can act as a genetic material must fulfill the following criteria: (i) It should be able to generate its replica (Replication)."
F121 | 5.2.2 | list | "(ii) It should be stable chemically and structurally."
F122 | 5.2.2 | list | "(iii) It should provide the scope for slow changes (mutation) that are required for evolution."
F123 | 5.2.2 | list | "(iv) It should be able to express itself in the form of 'Mendelian Characters'."
F124 | 5.2.2 | concept | "because of rule of base pairing and complementarity, both the nucleic acids (DNA and RNA) have the ability to direct their duplications."
F125 | 5.2.2 | concept | "The other molecules in the living system, such as proteins fail to fulfill first criteria itself."
F126 | 5.2.2 | concept | "The genetic material should be stable enough not to change with different stages of life cycle, age or with change in physiology of the organism."
F127 | 5.2.2 | concept | "Stability as one of the properties of genetic material was very evident in Griffith's 'transforming principle' itself that heat, which killed the bacteria, at least did not destroy some of the properties of genetic material."
F128 | 5.2.2 | concept | "This now can easily be explained in light of the DNA that the two strands being complementary if separated by heating come together, when appropriate conditions are provided."
F129 | 5.2.2 | concept | "Further, 2'-OH group present at every nucleotide in RNA is a reactive group and makes RNA labile and easily degradable."
F130 | 5.2.2 | concept | "RNA is also now known to be catalytic, hence reactive."
F131 | 5.2.2 | concept | "Therefore, DNA chemically is less reactive and structurally more stable when compared to RNA. Therefore, among the two nucleic acids, the DNA is a better genetic material."
F132 | 5.2.2 | concept | "In fact, the presence of thymine at the place of uracil also confers additional stability to DNA."
F133 | 5.2.2 | concept | "(Detailed discussion about this requires understanding of the process of repair in DNA, and you will study these processes in higher classes.)"
F134 | 5.2.2 | concept | "Both DNA and RNA are able to mutate. In fact, RNA being unstable, mutate at a faster rate."
F135 | 5.2.2 | concept | "Consequently, viruses having RNA genome and having shorter life span mutate and evolve faster."
F136 | 5.2.2 | concept | "RNA can directly code for the synthesis of proteins, hence can easily express the characters."
F137 | 5.2.2 | concept | "DNA, however, is dependent on RNA for synthesis of proteins. The protein synthesising machinery has evolved around RNA."
F138 | 5.2.2 | concept | "The above discussion indicate that both RNA and DNA can function as genetic material, but DNA being more stable is preferred for storage of genetic information. For the transmission of genetic information, RNA is better."
F139 | 5.3 | concept | "It shall be discussed in detail in the chapter on chemical evolution, but briefly, we shall highlight some of the facts and points."
F140 | 5.3 | concept | "RNA was the first genetic material."
F141 | 5.3 | concept | "There is now enough evidence to suggest that essential life processes (such as metabolism, translation, splicing, etc.), evolved around RNA."
F142 | 5.3 | concept | "RNA used to act as a genetic material as well as a catalyst (there are some important biochemical reactions in living systems that are catalysed by RNA catalysts and not by protein enzymes)."
F143 | 5.3 | concept | "But, RNA being a catalyst was reactive and hence unstable."
F144 | 5.3 | concept | "Therefore, DNA has evolved from RNA with chemical modifications that make it more stable."
F145 | 5.3 | concept | "DNA being double stranded and having complementary strand further resists changes by evolving a process of repair."
F146 | 5.4 | concept | "To quote their original statement that is as follows: 'It has not escaped our notice that the specific pairing we have postulated immediately suggests a possible copying mechanism for the genetic material' (Watson and Crick, 1953)."
F147 | 5.4 | concept | "The scheme suggested that the two strands would separate and act as a template for the synthesis of new complementary strands."
F148 | 5.4 | concept | "After the completion of replication, each DNA molecule would have one parental and one newly synthesised strand."
F149 | 5.4 | definition | "This scheme was termed as semiconservative DNA replication (Figure 5.6)."
F150 | 5.4.1 | concept | "It was shown first in Escherichia coli and subsequently in higher organisms, such as plants and human cells."
F151 | 5.4.1 | name | "Matthew Meselson and Franklin Stahl performed the following experiment in 1958"
F152 | 5.4.1 | list | "(i) They grew E. coli in a medium containing 15NH4Cl (15N is the heavy isotope of nitrogen) as the only nitrogen source for many generations."
F153 | 5.4.1 | concept | "The result was that 15N was incorporated into newly synthesised DNA (as well as other nitrogen containing compounds)."
F154 | 5.4.1 | concept | "This heavy DNA molecule could be distinguished from the normal DNA by centrifugation in a cesium chloride (CsCl) density gradient"
F155 | 5.4.1 | concept | "(Please note that 15N is not a radioactive isotope, and it can be separated from 14N only based on densities)."
F156 | 5.4.1 | list | "(ii) Then they transferred the cells into a medium with normal 14NH4Cl and took samples at various definite time intervals as the cells multiplied, and extracted the DNA that remained as double-stranded helices."
F157 | 5.4.1 | concept | "The various samples were separated independently on CsCl gradients to measure the densities of DNA (Figure 5.7)."
F158 | 5.4.1 | question | "Can you recall what centrifugal force is, and think why a molecule with higher mass/density would sediment faster?"
F159 | 5.4.1 | list | "(iii) Thus, the DNA that was extracted from the culture one generation after the transfer from 15N to 14N medium [that is after 20 minutes; E. coli divides in 20 minutes] had a hybrid or intermediate density."
F160 | 5.4.1 | number | "DNA extracted from the culture after another generation [that is after 40 minutes, II generation] was composed of equal amounts of this hybrid DNA and of 'light' DNA."
F161 | 5.4.1 | question | "If E. coli was allowed to grow for 80 minutes then what would be the proportions of light and hybrid densities DNA molecule?"
F162 | 5.4.1 | name | "Very similar experiments involving use of radioactive thymidine to detect distribution of newly synthesised DNA in the chromosomes was performed on Vicia faba (faba beans) by Taylor and colleagues in 1958."
F163 | 5.4.1 | concept | "The experiments proved that the DNA in chromosomes also replicate semiconservatively."
F164 | 5.4.2 | definition | "The main enzyme is referred to as DNA-dependent DNA polymerase, since it uses a DNA template to catalyse the polymerisation of deoxynucleotides."
F165 | 5.4.2 | concept | "These enzymes are highly efficient enzymes as they have to catalyse polymerisation of a large number of nucleotides in a very short time."
F166 | 5.4.2 | number | "E. coli that has only 4.6 x10^6 bp (compare it with human whose diploid content is 6.6 x 10^9 bp), completes the process of replication within 18 minutes"
F167 | 5.4.2 | number | "that means the average rate of polymerisation has to be approximately 2000 bp per second"
F168 | 5.4.2 | concept | "Not only do these polymerases have to be fast, but they also have to catalyse the reaction with high degree of accuracy. Any mistake during replication would result into mutations."
F169 | 5.4.2 | concept | "Furthermore, energetically replication is a very expensive process."
F170 | 5.4.2 | concept | "Deoxyribonucleoside triphosphates serve dual purposes. In addition to acting as substrates, they provide energy for polymerisation reaction"
F171 | 5.4.2 | concept | "(the two terminal phosphates in a deoxynucleoside triphosphates are high-energy phosphates, same as in case of ATP)."
F172 | 5.4.2 | concept | "In addition to DNA-dependent DNA polymerases, many additional enzymes are required to complete the process of replication with high degree of accuracy."
F173 | 5.4.2 | definition | "For long DNA molecules, since the two strands of DNA cannot be separated in its entire length (due to very high energy requirement), the replication occur within a small opening of the DNA helix, referred to as replication fork."
F174 | 5.4.2 | concept | "The DNA-dependent DNA polymerases catalyse polymerisation only in one direction, that is 5'-to-3'."
F175 | 5.4.2 | concept | "This creates some additional complications at the replicating fork."
F176 | 5.4.2 | concept | "Consequently, on one strand (the template with polarity 3'-to-5'), the replication is continuous, while on the other (the template with polarity 5'-to-3'), it is discontinuous."
F177 | 5.4.2 | concept | "The discontinuously synthesised fragments are later joined by the enzyme DNA ligase (Figure 5.8)."
F178 | 5.4.2 | concept | "The DNA polymerases on their own cannot initiate the process of replication."
F179 | 5.4.2 | concept | "Also the replication does not initiate randomly at any place in DNA."
F180 | 5.4.2 | definition | "There is a definite region in E. coli DNA where the replication originates. Such regions are termed as origin of replication."
