F511 | Fig 5.1 | figure-label | Figure labels: "5′ phosphate"
F512 | Fig 5.1 | figure-label | Figure labels: "3′ hydroxyl"
F513 | Fig 5.1 | figure-label | Figure labels: "A"
F514 | Fig 5.1 | figure-label | Figure labels: "T"
F515 | Fig 5.1 | figure-label | Figure labels: "G"
F516 | Fig 5.1 | figure-label | Figure labels: "C"
F517 | Fig 5.2 | figure-label | Figure labels: "5′"
F518 | Fig 5.2 | figure-label | Figure labels: "3′"
F519 | Fig 5.2 | figure-label | Figure labels: "hydrogen bonds"
F520 | Fig 5.2 | figure-label | Figure labels: "A"
F521 | Fig 5.2 | figure-label | Figure labels: "T"
F522 | Fig 5.2 | figure-label | Figure labels: "G"
F523 | Fig 5.2 | figure-label | Figure labels: "C"
F524 | Fig 5.3 | figure-label | Figure labels: "Base pairs"
F525 | Fig 5.3 | figure-label | Figure labels: "Adenine"
F526 | Fig 5.3 | figure-label | Figure labels: "Thymine"
F527 | Fig 5.3 | figure-label | Figure labels: "Guanine"
F528 | Fig 5.3 | figure-label | Figure labels: "Cytosine"
F529 | Fig 5.3 | figure-label | Figure labels: "Sugar phosphate backbone"
F530 | Fig 5.3 | figure-label | Figure labels: "Central dogma"
F531 | Fig 5.3 | figure-label | Figure labels: "DNA"
F532 | Fig 5.3 | figure-label | Figure labels: "RNA"
F533 | Fig 5.3 | figure-label | Figure labels: "Protein"
F534 | Fig 5.4a | figure-label | Figure labels: "DNA"
F535 | Fig 5.4a | figure-label | Figure labels: "H1 histone"
F536 | Fig 5.4a | figure-label | Figure labels: "Histone octamer"
F537 | Fig 5.4a | figure-label | Figure labels: "Core of histone molecules"
F538 | Fig 5.5 | figure-label | Figure labels: "Bacteriophage"
F539 | Fig 5.5 | figure-label | Figure labels: "Radioactive (35S) labelled protein capsule"
F540 | Fig 5.5 | figure-label | Figure labels: "Radioactive (32P) labelled DNA"
F541 | Fig 5.5 | figure-label | Figure labels: "Infection"
F542 | Fig 5.5 | figure-label | Figure labels: "Blending"
F543 | Fig 5.5 | figure-label | Figure labels: "Centrifugation"
F544 | Fig 5.5 | figure-label | Figure labels: "No radioactive (35S) detected in cells"
F545 | Fig 5.5 | figure-label | Figure labels: "Radioactive (35S) detected in supernatant"
F546 | Fig 5.5 | figure-label | Figure labels: "Radioactive (32P) detected in cells"
F547 | Fig 5.5 | figure-label | Figure labels: "No radioactivity detected in supernatant"
F548 | Fig 5.6 | figure-label | Figure labels: "5′"
F549 | Fig 5.6 | figure-label | Figure labels: "3′"
F550 | Fig 5.6 | figure-label | Figure labels: "A"
F551 | Fig 5.6 | figure-label | Figure labels: "T"
F552 | Fig 5.6 | figure-label | Figure labels: "G"
F553 | Fig 5.6 | figure-label | Figure labels: "C"
F554 | Fig 5.7 | figure-label | Figure labels: "15N-DNA"
F555 | Fig 5.7 | figure-label | Figure labels: "14N-DNA"
F556 | Fig 5.7 | figure-label | Figure labels: "Generation I"
F557 | Fig 5.7 | figure-label | Figure labels: "Generation II"
F558 | Fig 5.7 | figure-label | Figure labels: "20 min"
F559 | Fig 5.7 | figure-label | Figure labels: "40 min"
F560 | Fig 5.7 | figure-label | Figure labels: "Gravitational force"
F561 | Fig 5.7 | figure-label | Figure labels: "Heavy"
F562 | Fig 5.7 | figure-label | Figure labels: "Hybrid"
F563 | Fig 5.7 | figure-label | Figure labels: "Light"
F564 | Fig 5.7 | figure-label | Figure labels: "Separation of DNA by Centrifugation"
F565 | Fig 5.8 | figure-label | Figure labels: "Template DNA (parental strands)"
F566 | Fig 5.8 | figure-label | Figure labels: "Continuous synthesis"
F567 | Fig 5.8 | figure-label | Figure labels: "Discontinuous synthesis"
F568 | Fig 5.8 | figure-label | Figure labels: "Newly synthesised strands"
F569 | Fig 5.8 | figure-label | Figure labels: "5′"
F570 | Fig 5.8 | figure-label | Figure labels: "3′"
F571 | Fig 5.9 | figure-label | Figure labels: "Transcription start site"
F572 | Fig 5.9 | figure-label | Figure labels: "Promoter"
F573 | Fig 5.9 | figure-label | Figure labels: "Structural gene"
F574 | Fig 5.9 | figure-label | Figure labels: "Template strand"
F575 | Fig 5.9 | figure-label | Figure labels: "Terminator"
F576 | Fig 5.9 | figure-label | Figure labels: "Coding strand"
F577 | Fig 5.9 | figure-label | Figure labels: "5′"
F578 | Fig 5.9 | figure-label | Figure labels: "3′"
F579 | Fig 5.10 | figure-label | Figure labels: "Promoter"
F580 | Fig 5.10 | figure-label | Figure labels: "RNA polymerase"
F581 | Fig 5.10 | figure-label | Figure labels: "Sigma factor"
F582 | Fig 5.10 | figure-label | Figure labels: "DNA helix"
F583 | Fig 5.10 | figure-label | Figure labels: "Initiation"
F584 | Fig 5.10 | figure-label | Figure labels: "Elongation"
F585 | Fig 5.10 | figure-label | Figure labels: "Termination"
F586 | Fig 5.10 | figure-label | Figure labels: "Terminator"
F587 | Fig 5.10 | figure-label | Figure labels: "RNA"
F588 | Fig 5.10 | figure-label | Figure labels: "Rho factor"
F589 | Fig 5.10 | figure-label | Figure labels: "5′"
F590 | Fig 5.10 | figure-label | Figure labels: "3′"
F591 | Fig 5.11 | figure-label | Figure labels: "Capping"
F592 | Fig 5.11 | figure-label | Figure labels: "Cap"
F593 | Fig 5.11 | figure-label | Figure labels: "Intron"
F594 | Fig 5.11 | figure-label | Figure labels: "Exon"
F595 | Fig 5.11 | figure-label | Figure labels: "RNA splicing"
F596 | Fig 5.11 | figure-label | Figure labels: "Polyadenylation"
F597 | Fig 5.11 | figure-label | Figure labels: "Poly A tail"
F598 | Fig 5.11 | figure-label | Figure labels: "Messenger RNA"
F599 | Fig 5.11 | figure-label | Figure labels: "3′ mRNA"
F600 | Fig 5.11 | figure-label | Figure labels: "5′"
F601 | Fig 5.11 | figure-label | Figure labels: "3′"
