F001 | Intro | concept | "At the time of Mendel, the nature of those 'factors' regulating the pattern of inheritance was not clear."
F002 | Intro | concept | "Over the next hundred years, the nature of the putative genetic material was investigated culminating in the realisation that DNA - deoxyribonucleic acid - is the genetic material, at least for the majority of organisms."
F003 | Intro | concept | "In class XI you have learnt that nucleic acids are polymers of nucleotides."
F004 | Intro | concept | "Deoxyribonucleic acid (DNA) and ribonucleic acid (RNA) are the two types of nucleic acids found in living systems."
F005 | Intro | concept | "DNA acts as the genetic material in most of the organisms."
F006 | Intro | concept | "RNA though it also acts as a genetic material in some viruses, mostly functions as a messenger."
F007 | Intro | concept | "RNA has additional roles as well. It functions as adapter, structural, and in some cases as a catalytic molecule."
F008 | Intro | concept | "In Class XI you have already learnt the structures of nucleotides and the way these monomer units are linked to form nucleic acid polymers."
F009 | Intro | concept | "In this chapter we are going to discuss the structure of DNA, its replication, the process of making RNA from DNA (transcription), the genetic code that determines the sequences of amino acids in proteins, the process of protein synthesis (translation) and elementary basis of their regulation."
F010 | Intro | concept | "The determination of complete nucleotide sequence of human genome during last decade has set in a new era of genomics."
F011 | Intro | concept | "In the last section, the essentials of human genome sequencing and its consequences will also be discussed."
F012 | Intro | concept | "Let us begin our discussion by first understanding the structure of the most interesting molecule in the living system, that is, the DNA."
F013 | Intro | concept | "In subsequent sections, we will understand that why it is the most abundant genetic material, and what its relationship is with RNA."
F014 | 5.1 | concept | "The length of DNA is usually defined as number of nucleotides (or a pair of nucleotide referred to as base pairs) present in it."
F015 | 5.1 | concept | "This also is the characteristic of an organism."
F016 | 5.1 | number | "a bacteriophage known as phi x 174 has 5386 nucleotides"
F017 | 5.1 | number | "Bacteriophage lambda has 48502 base pairs (bp)"
F018 | 5.1 | number | "Escherichia coli has 4.6 x 10^6 bp"
F019 | 5.1 | number | "haploid content of human DNA is 3.3 x 10^9 bp"
F020 | 5.1.1 | definition | "A nucleotide has three components - a nitrogenous base, a pentose sugar (ribose in case of RNA, and deoxyribose for DNA), and a phosphate group."
F021 | 5.1.1 | definition | "There are two types of nitrogenous bases - Purines (Adenine and Guanine), and Pyrimidines (Cytosine, Uracil and Thymine)."
F022 | 5.1.1 | concept | "Cytosine is common for both DNA and RNA and Thymine is present in DNA."
F023 | 5.1.1 | concept | "Uracil is present in RNA at the place of Thymine."
F024 | 5.1.1 | definition | "A nitrogenous base is linked to the OH of 1' C pentose sugar through a N-glycosidic linkage to form a nucleoside"
F025 | 5.1.1 | example | "such as adenosine or deoxyadenosine, guanosine or deoxyguanosine, cytidine or deoxycytidine and uridine or deoxythymidine"
F026 | 5.1.1 | definition | "When a phosphate group is linked to OH of 5' C of a nucleoside through phosphoester linkage, a corresponding nucleotide (or deoxynucleotide depending upon the type of sugar present) is formed."
F027 | 5.1.1 | definition | "Two nucleotides are linked through 3'-5' phosphodiester linkage to form a dinucleotide."
F028 | 5.1.1 | concept | "More nucleotides can be joined in such a manner to form a polynucleotide chain."
F029 | 5.1.1 | concept | "A polymer thus formed has at one end a free phosphate moiety at 5'-end of sugar, which is referred to as 5'-end of polynucleotide chain."
F030 | 5.1.1 | concept | "Similarly, at the other end of the polymer the sugar has a free OH of 3'C group which is referred to as 3'-end of the polynucleotide chain."
F031 | 5.1.1 | concept | "The backbone of a polynucleotide chain is formed due to sugar and phosphates."
F032 | 5.1.1 | concept | "The nitrogenous bases linked to sugar moiety project from the backbone (Figure 5.1)."
F033 | 5.1.1 | concept | "In RNA, every nucleotide residue has an additional -OH group present at 2'-position in the ribose."
F034 | 5.1.1 | concept | "Also, in RNA the uracil is found at the place of thymine (5-methyl uracil, another chemical name for thymine)."
F035 | 5.1.1 | name | "DNA as an acidic substance present in nucleus was first identified by Friedrich Meischer in 1869. He named it as 'Nuclein'."
F036 | 5.1.1 | concept | "However, due to technical limitation in isolating such a long polymer intact, the elucidation of structure of DNA remained elusive for a very long period of time."
F037 | 5.1.1 | name | "It was only in 1953 that James Watson and Francis Crick, based on the X-ray diffraction data produced by Maurice Wilkins and Rosalind Franklin, proposed a very simple but famous Double Helix model for the structure of DNA."
F038 | 5.1.1 | concept | "One of the hallmarks of their proposition was base pairing between the two strands of polynucleotide chains."
F039 | 5.1.1 | name | "However, this proposition was also based on the observation of Erwin Chargaff that for a double stranded DNA, the ratios between Adenine and Thymine and Guanine and Cytosine are constant and equals one."
F040 | 5.1.1 | concept | "The base pairing confers a very unique property to the polynucleotide chains. They are said to be complementary to each other, and therefore if the sequence of bases in one strand is known then the sequence in other strand can be predicted."
F041 | 5.1.1 | concept | "Also, if each strand from a DNA (let us call it as a parental DNA) acts as a template for synthesis of a new strand, the two double stranded DNA (let us call them as daughter DNA) thus, produced would be identical to the parental DNA molecule."
F042 | 5.1.1 | concept | "Because of this, the genetic implications of the structure of DNA became very clear."
F043 | 5.1.1 | list | "(i) It is made of two polynucleotide chains, where the backbone is constituted by sugar-phosphate, and the bases project inside."
